broker_domain,current_value_WRONG,suggested_name_EDIT_ME,domain_stem,listings
buildout.com,Saunders Real Estate,Buildout,buildout,104
thedynastyba.com,Gregory Barnes,The Dynasty Business Advisors,thedynastyba,99
members.franchiseclearly.com,Charles Helms,Franchise Clearly,franchiseclearly,99
www.sagbrokerage.com,Troy Duffan,SAG Brokerage,sagbrokerage,95
unbroker.com,Unbroker,Unbroker,unbroker,91
usapoolroutesales.com,Lisa Ludwig,USA Pool Route Sales,usapoolroutesales,53
www.nationalrestaurantproperties.com,Nrp Charlotte,National Restaurant Properties,nationalrestaurantproperties,47
prakascompany.com,Prakascompany.com,Prakas & Company,prakascompany,40
thomashospitality.com,Michael Scheid,Thomas Hospitality,thomashospitality,34
gottesman-company.com,Doug Neufeld,The Gottesman Company,gottesman-company,20
briobrokers.dealrelations.com,Jeannie Randolph,Brio Brokers,briobrokers,19
www.patriotbusinessadvisors.com,Liliane Tietjen,Patriot Business Advisors,patriotbusinessadvisors,17
flow.unbroker.com,Team Unbroker,Unbroker,unbroker,16
sellmydeliveryroutes.com,Steve Ramsthel,Sell My Delivery Routes,sellmydeliveryroutes,15
www.mbbbiz.com,Ajeet Singh,,mbbbiz,15
preschoolbusinesssolutions.dealrelations.com,Laurance Milov,Preschool Business Solutions,preschoolbusinesssolutions,14
cbiteam.dealrelations.com,CBI Team,CBI Team,cbiteam,14
toddbusinesssolutions.com,Scott Todd,Todd Business Solutions,toddbusinesssolutions,14
listings.kingsleybrokers.com,Joe Howard,Kingsley Brokers,kingsleybrokers,13
www.dealforce.com,Milt Flinn,DealForce,dealforce,12
listings.benjaminrossgroup.com,Michael Lefkowitz,Benjamin Ross Group,benjaminrossgroup,12
bbrokers.com,Otis Florence,,bbrokers,11
sandiegonorth.fcbb.com,Bryan Gonzales,First Choice Business Brokers - San Diego North,sandiegonorth fcbb,10
search.bhhsgoldenproperties.com,Michael Raad,BHHS Golden Properties,bhhsgoldenproperties,10
businessforsaleinsandiego.com,James Shin,,businessforsaleinsandiego,10
spkrealty.com,Vartan Kebabjian,SPK Realty,spkrealty,10
pbabroker.com,Richard S. Burgess,,pbabroker,7
businessbrokersofamerica.com,Michelle Regner,Business Brokers of America,businessbrokersofamerica,7
sunbelthuntsville.com,Sunbelt Network - Montgomery,Sunbelt Business Brokers - Huntsville,sunbelthuntsville,6
list.roibusinessbrokers.com,Denis Mezheritskiy,ROI Business Brokers,roibusinessbrokers,6
www.xiteco.com,Tommy Newton,,xiteco,6
therockbridge.group,Rob Amerine,The Rockbridge Group,therockbridge group,5
baallc.biz,Mordecai Evans,,baallc,5
www.jackimwoods.com,Richard Jackim,Jackim Woods & Co,jackimwoods,4
search.premier-realty-group.net,Won Ra,Premier Realty Group,premier-realty-group,4
www.businessesforsale.com,Tommy Farmer,BusinessesForSale.com,businessesforsale,4
platanoadvisors.com,Pedro Rojas,Platano Advisors,platanoadvisors,3
map.realtyonegroup.com,Dalip Gupta,Realty ONE Group,realtyonegroup,2
www.remax-ner-berlin-nh.com,Matt Martel,RE/MAX Northern Edge Realty,remax-ner-berlin-nh,1
shermangroup.net,Sherman Hillelson,The Sherman Group,shermangroup,1
sharkteamflorida.com,Gerard Iii Cbi,Shark Team Florida,sharkteamflorida,1
emadsalem.sellstatemetro.com,M. Emad Salem,Sellstate Metro,sellstatemetro,1
sellbuybrokers.com,Diane Ho,Sell Buy Brokers,sellbuybrokers,1
www.dhbrokerage.com,"Jerry Hasanovic, Cpa, Mst",DH Brokerage,dhbrokerage,1
www.ecombrokers.co.uk,Ben Leonard,Ecom Brokers,ecombrokers,1
www.fishergroup.co,Mike Fisher,The Fisher Group,fishergroup,1
abb-businessbrokers.com,Larry Baumgart,ABB Business Brokers,abb-businessbrokers,1
