account,broker_name,company_name,listing_url
1593.0,"vested business brokers, ltd","vested business brokers, ltd",https://www.vestedbb.com/advancesearch/index.html
28149.0,hedgestone advisors,hedgestone business advisors,https://www.hedgestone.com/businesses-for-sale/
13461.0,routes for sale®,routes for sale,https://www.routesforsale.net/route-listings.html
20899.0,ron matheson,websiteclosers.com,https://www.websiteclosers.com/businesses-for-sale/
37203.0,route consultant,route consultant,https://listings.routeconsultant.com/route-search-results/
11331.0,national pool route sales lic re broker ca#01899885 fl#bk33740409,"national pool route sales, llc",https://poolroutesales.com/pool-routes-for-sale/
2900.0,eric gagnon,we sell restaurants,https://www.wesellrestaurants.com/restaurant-for-sale-near-me/All
2408.0,jeff linda nyman,first choice business brokers,https://fcbb.com/businesses-for-sale?page=1
388.0,larry bodner,executive business brokers,https://execbb.com/buyer/sub/results.asp?searchtype=incsearch
44749.0,jim boyd,national industry network business brokers,https://www.ninbb.com/search_results
3477.0,tom traina,eatz & associates,https://eatz-associates.com/listings/?fwp_status=for-sale%2Cnew-listing%2Cunder-contract%2Cfor-lease
28632.0,tommy tran,grand realty group,https://restaurantforsales.com/buy-a-restaurant.html
2119.0,blake taylor,synergy business brokers,https://synergybb.com/businesses-for-sale/
37947.0,eric espinoza,glb group inc.,https://greenlifebusiness.com/search-result/?keyword=&location-1=&status%5B%5D=for-sale&status%5B%5D=pending&status%5B%5D=sold&sortby=d_date
13582.0,henry galasso,east coast business brokers,https://www.eastcoastbusinessbrokers.com/index.php?p=search-result
1369.0,"steven d zimmerman, cbb, m&ami, cbi, fibba",restaurant realty company,https://restaurantrealty.com/search-listing-by-grid/
2212.0,calhoun companies,calhoun companies,https://www.calhouncompanies.com/find-a-business
21529.0,goldstar business brokers,goldstar business brokers,https://goldstarbbaz.com/CurrentListings.aspx
8517.0,nidal saleh,the saleh group re/max preferred group,https://salehgroup.com/business-directory/
104.0,ken stein,the kensington company,https://kensingtoncompany.com/business-listings/
5728.0,matt sadati,liberty business advisors of san francisco inc.,https://www.lbaweb.com/search-result/?business_type=0&business_type_sub=Business+Listing&max_price=Price&agent=Agent&listing_number=&status=Status&submit1=
3873.0,steven josovitz,shumacher restaurant brokers,https://www.shumacher.com/category/listings/
889.0,"a. bert risdon, b.c.i.","florida business exchange, inc.",https://fbxbrokers.com/fbx-listings/
28568.0,ian maclachlan,business team,https://www.business-team.com/buy-a-business/search-results.aspx?lid=all
21072.0,rich deluca,prime 100 business brokers,https://prime100businessbrokers.com/search/
14525.0,darlene ragone,moxie brokerage group | moxie select,https://www.moxiebrokeragegroup.com/listings
44155.0,cbcg( c land business consulting group) director shawn kim,cbcg (c land business consulting group),https://www.clandbiz.com/search-listing/
6508.0,v-aid business investment,"v-aid group, inc.",https://v-aidgroup.com/business-for-sale/
9245.0,armen nazarian,armen nazarian business brokers,https://www.armennazarian.com/buy/
1083.0,"jay m. inbar, certified mergers&acquisition pro",inbar group inc - business brokers and m&a,https://inbargroup.com/businesses-for-sale/
22641.0,ben strake,premier business brokers,https://premierbb.com/listings/
8817.0,todd smith,corbett restaurant group,https://corbettrestaurantgroup.com/listings/
3182.0,saint louis group business brokers,saint louis group business brokers inc.,https://saintlouisgroup.com/listings/
13263.0,"troy duffan, ceo","sofranko advisory group, llc",https://www.sagbrokerage.com/for-sale/
15655.0,cortney sells,"the firm advisors, llc",https://thefirmadv.com/business-buyer/opportunities/
26144.0,aldrin raphael fernandes,"a r business brokers inc., brokerage",https://aldrin.ca/businesses-for-sale/
39730.0,jeff bach,fusion business brokers,https://fusionadvantage.com/businesses-for-sale/
885.0,"cibb, corporate investment business brokers",corporate investment business brokers,https://www.cibb.com/cibb-exclusive-listings/
13088.0,chuck wimmer,business brokers of arizona,https://www.azbusinessbrokers.com/search-listings
8074.0,mark daoust,"quiet light brokerage, inc.",https://quietlight.com/listings/
9590.0,sam saa,metropolitan restaurant brokerage,https://www.buysellarestaurant.com/current-listings
4806.0,trevin rasmussen,bristol group,https://bristolgrouponline.com/businesses-for-sale/
33847.0,nick adhikari,baltimore business brokerage,https://baltimorebusinessbrokers.com/business
16244.0,coastal business brokers,coastal business brokers,https://coastalbizbrokers.com/all-listings/
2988.0,tom o'brien,pacific commercial brokers,https://pacificcommercialbrokers.com/listings/
41598.0,gene townley,tnt business brokers,https://dynamitebrokers.com/businesses-for-sale/
1982.0,alpine business brokers,"alpine business brokers, llc",https://www.alpinebusinessbrokers.com/utah-businesses-for-sale/
931.0,chuck harvey,"international business exchange, inc.",https://www.ibexbeyond.com/buy-a-business/
2201.0,nrp charlotte,national restaurant properties,https://www.nationalrestaurantproperties.com/listings/
32649.0,erten musa,pro level business,https://www.prolevelbusiness.com/business-for-sale
1271.0,mac thelen,opportunities in business,https://oibmn.com/listings
39904.0,zoom business brokers,zoom business brokers,https://zoombusinessbrokers.com/businesses-for-sale/
3339.0,troy frank,indiana equity brokers,https://indianaequitybrokers.com/businesses-for-sale/
31968.0,rod ross,ross brothers inc. car wash brokers,https://mycarwashbroker.com/new-york-car-wash-listings/
40510.0,felizardo gaxiola,first choice business brokers - excellence team,https://www.excellencebusinessbrokers.com/businesses-for-sale
15082.0,ziggy marszalek,bizbrokerage hub,https://bizbrokeragehub.com/listings/
563.0,jay offerdahl,viking mergers & acquisitions,https://www.vikingmergers.com/businesses-for-sale/
22925.0,carter asefi,franbiznetwork,https://www.franbiznetwork.com/listings/
29181.0,nadir jiddou,michigan business broker,https://michiganbusinessbroker.com/listings/
2456.0,"michael wildeveld, cbb, cbi, cm&ap, m&ami, cepa",the veld group,https://theveldgroup.com/main-street-businesses-for-sale/
7657.0,dustin sigall,sd business advisors,https://www.sdbiz.com/businessesforsale
1866.0,ruly couch,the restaurant brokers,https://therestaurantbroker.com/all-restaurants-available/
2856.0,jerome thissen,national franchise sales,https://www.nationalfranchisesales.com/listings
13447.0,steve harvey,business finders,https://businessfinderscanada.com/search-businesses-for-sale
40611.0,fernando saldivia,link business advisors,https://linkbusiness.com/businesses-for-sale
30194.0,tom arceri,routes to success,https://www.commercialroutesforsale.com/RouteList.aspx
40660.0,"samuel meister, mba, cbi",first choice business brokers pittsburgh,https://pittsburgh.fcbb.com/businesses-for-sale?sort=PriceHighToLow&page=1
21020.0,calder capital - mergers & acquisitions,"calder capital, llc",https://www.caldergr.com/businesses-for-sale/?_sfm_revenue=0+100000000&_sfm_cash_flow=-1000000+2000000
21534.0,patrick lange,business modification group,https://businessmodificationgroup.com/listings/?statuses=ACTIVE
10506.0,bill vanden eynden,business & commercial ventures,https://bcvcommercialrealty.com/businesses-for-sale/
36274.0,imran maqbool,naz business group/ home wire inc,https://naz-business.com/listings
4907.0,michael nuanes,"business brokerage services, llc",https://denverbbs.com/buy-a-business/
6451.0,company sellers,company sellers ltd.,https://www.companysellers.com/businesses-for-sale/
43783.0,practice transitions group,practice transitions group,https://practicetransitionsgroup.com/practices-for-sale/
30234.0,shane torres,kreate business brokers,https://www.krbb.com/category/all-listings
28476.0,charles helms,franchise clearly,https://members.franchiseclearly.com/tools/franchisors/public?available
8407.0,liliane tietjen,patriot business advisors,https://www.patriotbusinessadvisors.com/Listings.html
22095.0,harry sidhu,mission peak brokers inc.,https://missionpeakbrokers.com/current-listings/california-business-opportunities-for-sale/
1179.0,eleanor murray,murray & associates,https://murraybizbuy.com/businesses-for-sale/
44057.0,carol poe,poe group advisors,https://poegroupadvisors.com/buying/usa-cpa-firms-for-sale/
1371.0,mike nova,santa rosa business & commercial,https://santarosabusinessandcommercial.com/active-new-listings/
18897.0,lisa ludwig,pool route sales usa inc.,https://usapoolroutesales.com/listings/
18272.0,"eric gall, mba, cm&ap, cbi, m&ami",edison business advisors,https://www.edisonba.com/pages/active-listings
24767.0,rob anderson,egm,https://equitygroupmi.com/businesses-for-sale-by-egm/
2086.0,ron cervelli,regal consulting corp.,https://regalconsultants.com/businesses-for-sale-2/
2500.0,"jeff snell, cm&ap, m&ami, lmcbi, abi",enlign business brokers,https://enlign.com/listings
45443.0,justin slocum,agency for sale,https://agencyforsale.com/listings?search%5Bbroker_listings%5D=0&search%5Bstatus%5D=&search%5Bfranchise_id%5D=&search%5Bstate%5D=&search%5Bmin_price%5D=&search%5Bmax_price%5D=&search%5Bmin_premium%5D=&search%5Bmax_premium%5D=&button=
40190.0,raj golee,biz depot brokers,https://biz-depot.co/properties-standard-list/
27401.0,"miriam liang, cbi",route advisors,https://www.routeadvisors.com/available-routes/
26515.0,craig della vedova vista pool routes,bright realty,https://vistapoolroutes.com/for-sale
19031.0,chris dineno,main street & main,https://mainstreetmain.com/listings
26776.0,charles howard,tangent brokerage,https://tangentbrokerage.com/listings/
1687.0,sasa milosevic,manhattan.biz,https://manhattan.biz/current-listing/
33886.0,lori feingold,"peak business brokers, llc",https://peakbusinessbrokersllc.com/business-listings/
9576.0,"affordable business concepts, llc",affordable business concepts llc,https://www.affordablebusinessconcepts.com/featured-list/
39844.0,ps broker,ps broker,https://psbroker.com/veterinary-practices-for-sale/
15416.0,ronald b. gould,"excel business brokers usa, ltd.",https://www.excelbusinessbrokersusa.com/business-for-sale/
39077.0,dr. tom necela,the strategic chiropractor llc,https://strategicdc.com/chiropractic-practices-for-sale/
15245.0,eric owens,app business brokers,https://www.appbusinessbrokers.com/buy/
5557.0,amy ayeley,great atlanta realty,https://bizbuyandsellga.com/our-listings/
38858.0,ralph santos,health care biz brokers,https://healthcarebizbrokers.com/listings
40900.0,steve tsoris,"newleaf business brokerage, llc",https://newleafbrokerage.com/bb/businesses-for-sale/
42194.0,robert marcarelli,pi business brokers,https://ctbusinessforsale.com/our-listings/
8677.0,tim bullard,lake country advisors,https://lakecountryadvisors.com/businesses-for-sale/main-street/
31650.0,tom brubaker,tam-bay mergers & acquisitions,https://www.tambaymergers.com/
5515.0,vantage partners,vantage commercial partners,https://www.commercialmls.com/People/AgentBusOps/19393
22928.0,prashant parmar,aspect commercial realty & business brokers,https://aspectbrokers.biz/BusinessForSale/BusinessForSale
39787.0,bay area business brokers,bay area business brokers,https://bayareabizbrokers.com/businesses-for-sale/
46471.0,sanjay wadhwani,kmf business advisors,https://kmfbusinessadvisors.dealrelations.com/listings?page=2%20
28182.0,rajesh bhatia,reputed brokerage,https://www.reputedbrokerage.com/advanced-search/?status=for-sale
34365.0,brian zoberg,suncoast business consultants,https://suncoastbiz.net/search-businesses/
9466.0,sherman hillelson,the sherman group,https://shermangroup.net/listings/
2762.0,indiana business advisors,indiana business advisors,https://indianabusinessadvisors.com/businesses-for-sale/
3819.0,"brent bungard, broker",arthur berry & company,https://arthurberry.com/new-listings/
33313.0,anthony rigney,"quorum business advisors, llc",https://qbusinessadvisors.com/buyers-and-sellers-asp/
34116.0,matthew baas,small business deal advisors,https://www.smallbusinessdeal.com/current-listings/
40427.0,"lou sabbagh, cbi, cm&ap",budget business brokers,https://budgetbusinessbrokers.com/Listings-For-Sale/
10357.0,john hawke,springboard pool route brokers,https://sbpoolroutes.com/route-listings/
49543.0,tom cerniello,total business brokers,https://totalbusinessbrokers.com/listings-on-bizbuysell/
7822.0,terri sokoloff,specialty bar & restaurant brokers,https://specialtygroup.com/listings/?tab=BizRE
11797.0,the pacific group las vegas nv,the pacific group,https://us.businessesforsale.com/us/agents/the-pacific-group
17065.0,brett post,3cre advisors,https://3cre.com/business-listings-columbus/
14674.0,robert clements,benchmark business group,https://www.benchmarkbusinessgroup.com/business-for-sale
34608.0,tim johnson,first choice business brokers of hampton roads,https://businessesforsalehamptonroads.com/businesses-for-sale
28885.0,"jerry hasanovic, cpa, mst","dh brokerage, inc.",https://www.dhbrokerage.com/listings.php
39319.0,arizona-restaurant sales,hub commercial | arizona restaurant sales,https://arizonarestaurantsales.com/restaurants-for-sale-in-arizona/
352.0,rob amerine,"the fbb group, ltd.",https://therockbridge.group/businesses-for-sale/
31769.0,haroon bhatti,capital business brokerage,https://capitalbusinessbrokerage.biz/business/
2171.0,monika page,bizmatch inc.,https://www.biz-match.com/listings
24545.0,jay armour,the route exchange,https://therouteexchange.com/routes-for-sale/
49207.0,gregory barnes,dynasty business advisors,https://thedynastyba.com/listings
41789.0,susan m barnes,florida international business brokers,https://www.flbusinesses.com/all-listings
18595.0,john lin,capstar commercial realty,https://www.capstarco.com/search-business
23910.0,"pablo fonseca, mba",spectrum business advisors,https://1800bizbroker.com/business-for-sale/?statuses=ACTIVE
926.0,frank rubin,amerivest group,https://bbms.biz/listings/bbf-134/bus-own.asp
26675.0,willow whitney,"accounting firm sold, llc",https://accountingfirmsold.com/listings/
39674.0,jason ward,truview business advisors,https://truviewbusiness.com/businesses-for-sale/
35477.0,raj sathyaseelan,link silicon valley,https://www.link-siliconvalley.com/businesses-for-sale/
20993.0,"abdul jobah, ccim designee",jobah's commercial real estate,https://www.jobahcri.com/listings?sale=2
