id,source_url,broker_name,title,asking_price,revenue,cash_flow,city,state,vertical,business_type,first_seen,status,hash,broker,broker_url,last_seen,raw_text,confidence,is_real_listing,reject_reason
701b8bd4a99bf7c484d55640a830e701,https://murphybusiness.com/business-brokerage/detail/21630/multi-unit-fitness-franchise-locations-for-sale,Murphy Business,Multi-Unit Fitness Franchise Locations for Sale,3800000.0,,886619.0,,,other,Multi-Unit Fitness Franchise,2026-02-23T17:20:44.459957+00:00,active,,,,,,85,False,Franchise opportunity listing
957ab9c287ff8f55e14516e8964f1685,https://murphybusiness.com/business-brokerage/detail/21392/eastern-south-dakota-franchise-pizza-restaurant,Murphy Business,Eastern South Dakota Franchise Pizza Restaurant,1300000.0,,250320.0,,,food,Franchise Pizza Restaurant,2026-02-23T17:20:44.460228+00:00,active,,,,,,85,False,Franchise opportunity
195d9ebaec4cd1e1234dc6581e5e9d78,https://murphybusiness.com/business-brokerage/detail/22427/salon-suite-franchise,Murphy Business,Salon Suite Franchise,1250000.0,,,,,retail,Salon Suite Franchise,2026-02-23T17:20:44.460251+00:00,active,,,,,,95,False,Franchise opportunity
0b9800ff242e4a1c65e81374c8c3bd79,https://murphybusiness.com/business-brokerage/detail/22607/pest-control-franchise-resale-in-central-ct,Murphy Business,Pest Control Franchise Resale in Central CT,1200000.0,,521084.0,,,other,Pest Control Franchise,2026-02-23T17:20:44.460310+00:00,active,,,,,,85,False,Franchise resale opportunity
f3ca9ea08d94c7a168bbb8450d01f38b,https://murphybusiness.com/business-brokerage/detail/22463/profitable-pest-control-franchise-serving-orange-and-la-co,Murphy Business,Profitable Pest Control Franchise – Serving Orange & LA Co,950000.0,,295576.0,,,other,Pest Control Franchise,2026-02-23T17:20:44.460419+00:00,active,,,,,,95,False,Franchise opportunity
62952b04c90bd789f1a5f7ae30bb5ae6,https://murphybusiness.com/business-brokerage/detail/22629/profitable-pest-control-franchise-resale-in-southcentral-nh,Murphy Business,"Profitable Pest Control Franchise Resale in Southcentral, NH",885000.0,,283433.0,,,other,Pest Control Franchise,2026-02-23T17:20:44.460458+00:00,active,,,,,,85,False,Franchise resale opportunity
e673abada04ca1cf65a47d78cd773074,https://murphybusiness.com/business-brokerage/detail/21584/franchise-advisor-328k-earnings-expandable-territory,Murphy Business,Franchise Advisor | $328K Earnings | Expandable Territory,750000.0,,328678.0,,,other,Franchise Advisor,2026-02-23T17:20:44.460550+00:00,active,,,,,,85,False,Franchise opportunity
165de026ce3e18718d8363727df4fd10,https://murphybusiness.com/business-brokerage/detail/22423/profitable-indoor-golf-and-bar-franchise,Murphy Business,Profitable Indoor Golf & Bar Franchise,725000.0,,264374.0,,,food,Indoor Golf & Bar Franchise,2026-02-23T17:20:44.460587+00:00,active,,,,,,95,False,Franchise opportunity
3aa630f421292a89e5ca755a88733e9a,https://murphybusiness.com/business-brokerage/detail/21320/pawn-shop-with-real-estate,Murphy Business,Pawn Shop with Real Estate,700000.0,,39325.0,,,retail,Pawn Shop,2026-02-23T17:20:44.460594+00:00,active,,,,,,45,False,Real estate component indicates this is primarily a property listing rather than a business listing
1b90e603b73634e850cb1fc994cd80f7,https://murphybusiness.com/business-brokerage/detail/22142/home-care-franchise,Murphy Business,Home Care Franchise,636000.0,,270136.0,,,healthcare,franchise,2026-02-23T17:20:44.460637+00:00,active,,,,,,95,False,franchise opportunity
5561fb7fb0ef31beba6302e1fe6f16f4,https://murphybusiness.com/business-brokerage/detail/22844/breakfast-and-brunch-franchise-owner-financing-80,Murphy Business,Breakfast & Brunch Franchise -Owner Financing 80%,600000.0,,255762.0,,,food,Breakfast & Brunch Franchise,2026-02-23T17:20:44.460669+00:00,active,,,,,,85,False,Franchise opportunity
54153c1df336cd3bf4f9dd8b8acb15a1,https://murphybusiness.com/business-brokerage/detail/23178/franchise-sales-and-service-business-for-sale,Murphy Business,Franchise Sales & Service Business for Sale,599000.0,,241910.0,,,other,Franchise Sales & Service,2026-02-23T17:20:44.460678+00:00,active,,,,,,85,False,Franchise opportunity
1d1fb51bd3a1439cc1de2fe23abc4f76,https://murphybusiness.com/business-brokerage/detail/21920/franchise-sports-equipment-and-training-store,Murphy Business,Franchise Sports Equipment and Training Store,375000.0,,,,,retail,Franchise Sports Equipment and Training Store,2026-02-23T17:20:44.460922+00:00,active,,,,,,85,False,Franchise opportunity
7d2182e539cd7054329aa9ad67703fb0,https://murphybusiness.com/business-brokerage/detail/23068/high-tech-wellness-franchise-resale-prime-location,Murphy Business,High-Tech Wellness Franchise Resale–Prime Location,375000.0,,,,,healthcare,Wellness Franchise,2026-02-23T17:20:44.460927+00:00,active,,,,,,85,False,Franchise resale opportunity
9d69b93080fd2365ce2c272c27433f36,https://murphybusiness.com/business-brokerage/detail/22593/commercial-exhaust-hood-cleaning-franchise-for-sale,Murphy Business,Commercial Exhaust Hood Cleaning Franchise for Sale,350000.0,,145176.0,,,cleaning,Exhaust Hood Cleaning Franchise,2026-02-23T17:20:44.460947+00:00,active,,,,,,95,False,Franchise opportunity
90e7e9a0c3b464d21f978b14be63b3d4,https://murphybusiness.com/business-brokerage/detail/23031/hoagie-franchise-seller-financing-only-20-down,Murphy Business,Hoagie Franchise-Seller Financing ONLY 20% Down,350000.0,,112026.0,,,food,Hoagie Franchise,2026-02-23T17:20:44.460967+00:00,active,,,,,,95,False,Franchise opportunity
aced335e6ad66820b5a2112ca7f4fe0f,https://murphybusiness.com/business-brokerage/detail/22836/full-service-custom-sign-and-graphics-franchise,Murphy Business,Full-Service Custom Sign and Graphics Franchise,349500.0,,206689.0,,,retail,Sign and Graphics Franchise,2026-02-23T17:20:44.460975+00:00,active,,,,,,95,False,Franchise opportunity
774e8f10c1b3c8971164802cb31ab6d9,https://murphybusiness.com/business-brokerage/detail/19669/major-van-lines-agent-priced-to-sell,Murphy Business,Major Van Lines Agent - Priced to Sell,349000.0,,114277.0,,,auto,Moving/Transportation Franchise,2026-02-23T17:20:44.460979+00:00,active,,,,,,85,False,Franchise opportunity
5ab08e4d64e0d2d7d0b9853de8cd07ca,https://murphybusiness.com/business-brokerage/detail/21013/great-opportunity-to-join-the-pizza-franchise-industry-leader,Murphy Business,Great Opportunity to Join the Pizza Franchise Industry Leader,330000.0,,60063.0,,,food,Pizza Franchise,2026-02-23T17:20:44.461003+00:00,active,,,,,,95,False,Franchise opportunity
