domain,company,status,note
unitedbusinessbank.com,ubb,no_listings_page,human-verified by Sanny: Not a business listing page
benchmarkcorporate.com,benchmark international,no_listings_page,human-verified by Sanny: CAN'T FIND LISTING PAGE
bizbrokersla.com,first choice business brokers la,dead,human-verified by Sanny: PAGE Unreachable
wdtcpa.com,william tippin,no_listings_page,human-verified by Sanny: Not a business listing page
attleerealty.com,"attlee realty, llc",no_listings_page,human-verified by Sanny: Can't find listing page
ecashflowacquisitions.com,ecashflow acquisitions,no_listings_page,human-verified by Sanny: CANT FIND
nashbb.com,"nashville business brokers, llc",no_listings_page,human-verified by Sanny: DUPLICATE
franchiseba.com,fba franchise resale ready,blocked,human-verified by Sanny: 403 Forbidden
petersonacquisitions.com,peterson acquisition,no_listings_page,human-verified by Sanny: CANT FIND PAGE
pacificbusinessadvisors.com,pacific business advisors,no_listings_page,human-verified by Sanny: CANT FIND PAGE
anaserratbroker.com,ana serrat broker,dead,human-verified by Sanny: Site can't be reached
burness.com,burness businesses,no_listings_page,human-verified by Sanny: Not a business listing page
joinvanderbilt.com,vandy brokers,no_listings_page,human-verified by Sanny: Not a business listing page
jsassociatesllc.com,js associates,no_listings_page,human-verified by Sanny: Can't find listing page
franchiseconnectors.com,franchise connectors & business brokers,no_listings_page,human-verified by Sanny: Can't find listing page
ibanet.us6.list-manage.com,iba,no_listings_page,human-verified by Sanny: CANT FIND PAGE
zillow.com,quinn re sales,no_listings_page,human-verified by Sanny: NO Listing Page
cobaltintelligence.com,"vincent carfora broker, inc.",no_listings_page,human-verified by Sanny: NO Listing Page
columbiabusinessbrokers.com,the agency nw real estate,no_listings_page,human-verified by Sanny: NO Listing Page
thebowengroup.com,the bowen group,no_listings_page,human-verified by Sanny: CAN'T FIND PAGE
vbsgroup.biz,venture business solutions,no_listings_page,human-verified by Sanny: CAN'T FIND PAGE
hbsgre.com,"hbsg, inc.",auth_required,human-verified by Sanny: Needs sign in to view listing
yelp.com,"action realty task, inc",no_listings_page,human-verified by Sanny: Can't find page
linkedin.com,rebecca pierce,no_listings_page,human-verified by Sanny: Can't find page
royalbizconsultants.com,royal business brokers,no_listings_page,human-verified by Sanny: Error on Page
pbbny.com,platinum business brokers,no_listings_page,human-verified by Sanny: Blank Page
facebook.com,cr business brokers,auth_required,human-verified by Sanny: Needs sign in to view listing
azalea-shallot-xhyg.squarespace.com,david taylor,no_listings_page,human-verified by Sanny: Not a Business listing page
iraspilky.com,ira spilky & associates,no_listings_page,human-verified by Sanny: Can't find page
pghbiz.com,pghbiz brokerage,no_listings_page,human-verified by Sanny: No listings yet
gladescountyedc.com,rog infinity commercial real estate & business opportunity,no_listings_page,human-verified by Sanny: Can't find page
cbiteam.com,cbi team,dead,human-verified by Sanny: Site can't be reached
unitedrealestatemiami.com,united real estate miami,dead,human-verified by Sanny: Site Can't be Reached
mrec.ms.gov,ms real estate inc,no_listings_page,human-verified by Sanny: Not a Listing Page
elitebusinessbuyers.net,elite business brokers llc.,no_listings_page,human-verified by Sanny: No listing page avaialble
lawrenceasc.com,lawrence associates,no_listings_page,human-verified by Sanny: No listing page avaialble
sterlingconsultants.biz,sterling business consultants,no_listings_page,human-verified by Sanny: Cant find listing page
ca.linkedin.com,alex webb,no_listings_page,human-verified by Sanny: Cant find listing page
franchisefindersinc.com,franchise finder consulting firm,no_listings_page,human-verified by Sanny: Cant find listing page
route.com,route depot,no_listings_page,human-verified by Sanny: Cant find listing page
metrorealtydfw,mrg realty advisors llc,dead,human-verified by Sanny: Site Can't be Reached
zoominfo.com,bar doctors inc,no_listings_page,human-verified by Sanny: Cant find listing page
actionrealtytaskinc.com,"action realty task holdings, inc",dead,human-verified by Sanny: Site Can't be Reached
ajaxrealtygroup.com,ajax real estate,no_listings_page,human-verified by Sanny: Cant find listing page
premieragentnetwork.com,premier agent network,no_listings_page,human-verified by Sanny: Cant find listing page
dnb.com,bw laundry sales,no_listings_page,human-verified by Sanny: Cant find listing page
gtcapital.com.ph,gt capital inc,no_listings_page,human-verified by Sanny: Can't find listing page
mainstreetbusinessbrokers.net,mainstreet business ventures,no_listings_page,human-verified by Sanny: Can't find listing page
berkshirehathaway.com,berkshire hathaway,no_listings_page,human-verified by Sanny: Can't find listing page
jgcommercialgroup.com,jg commercial group,no_listings_page,human-verified by Sanny: No listings found
mrroute.com,"mr.route, inc.",dead,human-verified by Sanny: Site can't be reached
businessquestinc.com,"businessquest brokers, inc.",no_listings_page,human-verified by Sanny: Can't find listing page
thelawnboss.com,"boss group international, llc",no_listings_page,human-verified by Sanny: Can't find listing page
liquorlicenseprofessional.com,"liquor license professionals, llc",no_listings_page,human-verified by Sanny: Can't find listing page
uk.linkedin.com,agency republic,no_listings_page,human-verified by Sanny: Can't find listing page
bizbuybrokers.com,"atlanta business brokers, llc.",no_listings_page,human-verified by Sanny: Can't find listing page
alaskabusinessbrokers.com,alaska business brokers/real broker alaska,dead,human-verified by Sanny: 404 Not found
oxfordhighland.com,gary martin and associates/the oxford highland group,no_listings_page,human-verified by Sanny: Can't find listing page
bbfmls.com,black book advisers,no_listings_page,human-verified by Sanny: Error on listing page
vwgroupsupply.com,vw marketing llc,no_listings_page,human-verified by Sanny: Can't find listing page
maspecialists.com,m&a specialists,no_listings_page,human-verified by Sanny: Can't find listing page
raivax.com,the raivax group,no_listings_page,human-verified by Sanny: Can't find listing page
can't find listing page,sexton commercial brokerage,no_listings_page,human-verified by Sanny: Can't find listing page
kingoneproperties.com,king one properties,no_listings_page,human-verified by Sanny: Can't find listing page
mohrpartners.com,mohr partners,no_listings_page,human-verified by Sanny: Can't find listing page
mapquest.com,nayor & ferrer realty associates,no_listings_page,human-verified by Sanny: Can't find listing page
realtybiznews.com,world business & realty group,no_listings_page,human-verified by Sanny: Can't find listing page
dhabrokers.com,david hoffman & associates inc.,no_listings_page,human-verified by Sanny: Can't find listing page
bqrealtygroup.com,bq group inc,no_listings_page,human-verified by Sanny: Can't find listing page
cbs-global.com,creative business services,no_listings_page,human-verified by Sanny: Can't find listing page
libertyadvisorgroup.com,liberty advisors,no_listings_page,human-verified by Sanny: Can't find listing page
commercialplus.com,commercial plus group,no_listings_page,human-verified by Sanny: Blank page
city-data.com,"cwc agency brokerage, llc",no_listings_page,human-verified by Sanny: Can't find listing page
deepikasyal.com,deepika syal,no_listings_page,human-verified by Sanny: Needs NDA
infinitybusinessbrokers.com,infinity business brokers,dead,human-verified by Sanny: 404 Not Found
redhotpropertiesca.com,red hot properties,no_listings_page,human-verified by Sanny: Can't find listing page
axlequity.com,axl equity advisors,no_listings_page,human-verified by Sanny: Cant find listing page
commercialpropertymd.com,re/max first choice (commercial),dead,human-verified by Sanny: This site can’t be reached
gocurb.com,curb,no_listings_page,human-verified by Sanny: Cant find listing page
thenybbgroup.com,the nybb group,no_listings_page,human-verified by Sanny: Cant find listing page
chavarriacashconnection.com,regional real estate - commercial,dead,human-verified by Sanny: 404 Error. Page Not Found.
cgkbusinesssales.com,cgk business sales,no_listings_page,human-verified by Sanny: Cant find listing page
topsailcapitaladvisors.com,topsail capital advisors,no_listings_page,human-verified by Sanny: Cant find listing page
cardinalbusinessbrokers.com,cardinal business brokers,no_listings_page,human-verified by Sanny: Cant find listing page
thebeautybrokers.com,the beauty broker,no_listings_page,human-verified by Sanny: Cant find listing page
austintexas.gov,austin business finder llc,no_listings_page,human-verified by Sanny: Cant find listing page
commongroundbusinessbrokers.com,common ground business brokers,no_listings_page,human-verified by Sanny: Cant find listing page
elitebrokercrm.com,elite brokers,no_listings_page,human-verified by Sanny: Cant find listing page
realtor.com,ister & associates real estate group,no_listings_page,human-verified by Sanny: Cant find listing page
pinnaclerealtymi.com,pinnacle real estate group,no_listings_page,human-verified by Sanny: Cant find listing page
tornetta.com,tornetta realty corp.,no_listings_page,human-verified by Sanny: Cant find listing page
exitstrategiesgroup.com,"exit strategies group, inc.",no_listings_page,human-verified by Sanny: Cant find listing page
gulfstreammergers.com,gulfstream mergers & acquisitions,no_listings_page,human-verified by Sanny: Your access to this service has been limited. (HTTP response code 503)
ocalabusinessbrokers.com,"ocala business brokers, inc.",dead,human-verified by Sanny: This site can’t be reached
finance.yahoo.com,"icoa, inc.",no_listings_page,human-verified by Sanny: Not a listing page
jwmichaels.com,"jw michaels realty services, llc",no_listings_page,human-verified by Sanny: Cant find listing page
eastcoastrealtors.com,east coast realtors,no_listings_page,human-verified by Sanny: No new listing published
businessbrokersga.com,business brokers inc./atlant business ad,dead,human-verified by Sanny: This site can’t be reached
network.axial.net,amro business brokers,no_listings_page,human-verified by Sanny: Can't find listing page
fandbleasing.com,f+b hospitality brokerage,no_listings_page,human-verified by Sanny: Can't find listing page
hightouchgrp.com,high touch properties inc.,no_listings_page,human-verified by Sanny: Page no longer available
nar.realtor,"national representative realty, llc",no_listings_page,human-verified by Sanny: Can't find listing page
parkwestbusinesspartners.com,parkwest business partners,no_listings_page,human-verified by Sanny: Can't find listing page
pavilionservices.com,pavilion business services,no_listings_page,human-verified by Sanny: Can't find listing page
philipcowan.net,philip cowan,no_listings_page,human-verified by Sanny: Not a listing page
alignable.com,"ram realty group enterprises, llc.",no_listings_page,human-verified by Sanny: Can't find listing page
investors.onereal.com,real brokerage,no_listings_page,human-verified by Sanny: Can't find listing page
realtysolution.com,richard kim,dead,human-verified by Sanny: This site can’t be reached
theplatinumgrp.com,"the platinum group, ltd",no_listings_page,human-verified by Sanny: Can't find listing page
elioserpa.com,wra miami business & real estate,no_listings_page,human-verified by Sanny: Can't find listing page
markiiiproperties.com,mark iii properties,no_listings_page,human-verified by Sanny: Can't find listing page
dehlan.com,dehlan group,no_listings_page,human-verified by Sanny: Can't find listing page
etonvs.com,"business valuations, consulting, sales, funding",no_listings_page,human-verified by Sanny: Can't find listing page
blackpowderredearth.com,bpre,no_listings_page,human-verified by Sanny: Not a listing page
oregoncoastcommercial.com,berkshire hathaway homeservices northwest,dead,human-verified by Sanny: This site can’t be reached
impactmybiz.com,impact business,no_listings_page,human-verified by Sanny: Can't find listing page
msn.com,matt smith,no_listings_page,human-verified by Sanny: Not a listing page
reality2.com,my reality 2,no_listings_page,human-verified by Sanny: Not a listing page
paragonbrokers.com,paragon brokers,no_listings_page,human-verified by Sanny: Can't find listing page
peakbusinessadvising.com,"peak business advising, llc",no_listings_page,human-verified by Sanny: Can't find listing page
bizprofile.net,ref realty inc.,no_listings_page,human-verified by Sanny: Can't find listing page
tecacq.com,tecacq m&a,no_listings_page,human-verified by Sanny: Can't find listing page
abc.net.au,abc,no_listings_page,human-verified by Sanny: Not a listing page
thefranchisecompass.com,"compass consulting services, llc",no_listings_page,human-verified by Sanny: Can't find listing page
sourceworks-inc.com,sourceworks inc,no_listings_page,human-verified by Sanny: Can't find listing page
calbrigerg.com,california bridge realty,dead,human-verified by Sanny: This site can’t be reached
aaronmajors.com,majors real estate,no_listings_page,human-verified by Sanny: Can't find listing page
firstnet.com,oregon first,no_listings_page,human-verified by Sanny: Can't find listing page
pacificmergers.com,pacific mergers and acqusitions inc.,no_listings_page,human-verified by Sanny: Can't find listing page
sumtisllc.com,sumtis llc,no_listings_page,human-verified by Sanny: Can't find listing page
thetransitiongroup.biz,the transition group/tiffany real property,dead,human-verified by Sanny: This site can’t be reached
searchwelladvisors.com,searchwell advisors,no_listings_page,human-verified by Sanny: Can't find listing page
carlpallini.com,tri state business authority,no_listings_page,human-verified by Sanny: Can't find listing page
goldbridgegp.com,golden bridge realty,no_listings_page,human-verified by Sanny: Can't find listing page
maservices.com,"acquisition services, inc.",no_listings_page,human-verified by Sanny: Can't find listing page
buyersmarketinc.com,buyers market inc,dead,human-verified by Sanny: Not Found
dhacorporate.com,dha corporate,no_listings_page,human-verified by Sanny: This page isn’t working
nationalrealtyoldcity.com,national realty old city,no_listings_page,human-verified by Sanny: Can't find listing page
njportal.com,"nynj business,llc.",no_listings_page,human-verified by Sanny: Not a listing page
perfectfitbusinessalliance.com,perfect fit business alliance,no_listings_page,human-verified by Sanny: Listing page not loading
summitbusinessadvisors.com,summit business advisors,no_listings_page,human-verified by Sanny: Can't find listing page
double13llc.com,double13 llc,dead,human-verified by Sanny: This site can’t be reached
fidcol.com,fidcol corporate services inc.,no_listings_page,human-verified by Sanny: Can't find listing page
graystonecorporate.com,graystone international,no_listings_page,human-verified by Sanny: Can't find listing page
nystrombusinesssales.com,nystrom business sales,no_listings_page,human-verified by Sanny: Can't find listing page
ayanaretail.com,ayana retail,no_listings_page,human-verified by Sanny: Can't find listing page
floridarealtyofmiami.com,"florida realty of miami, corp.",no_listings_page,human-verified by Sanny: Can't find listing page
succeedwithmore.com,main street realtors,no_listings_page,human-verified by Sanny: Can't find listing page
themw.com,mountain west,no_listings_page,human-verified by Sanny: Not a listing page
robbinspellegrino.com,robbins pellegrino,no_listings_page,human-verified by Sanny: Can't find listing page
traddcommercial.com,www.traddcommercial.com,no_listings_page,human-verified by Sanny: Can't find listing page
4abusinessbroker.com,4a business broker llc,no_listings_page,human-verified by Sanny: Not a listing page
lewiscoholdings.com,lewisco,no_listings_page,human-verified by Sanny: Can't find listing page
braybusinessadvisorsgroup.com,"bray commercial, llc",no_listings_page,human-verified by Sanny: Can't find listing page
delaneyrestaurantrealty.com,delaney restaurant realty,no_listings_page,human-verified by Sanny: Can't find listing page
dolansales.com,"dolan sales, inc.",dead,human-verified by Sanny: This site can’t be reached
greatearthrealty.com,great earth realty,no_listings_page,human-verified by Sanny: Can't find listing page
greenpinepartners.com,"green pine partners, inc.",no_listings_page,human-verified by Sanny: Can't find listing page
illicre.com,illi commercial real estate,no_listings_page,human-verified by Sanny: Can't find listing page
premierinnovationsgroup.com,premier innovations group,no_listings_page,human-verified by Sanny: Not a listing page
saveinparadise.com,restaurant equipment paradise inc.,no_listings_page,human-verified by Sanny: Not a listing page
c21selectcommercial.com,select commercial group,no_listings_page,human-verified by Sanny: Page not available
worldbrokers.com,world business brokers inc,no_listings_page,human-verified by Sanny: Can't find listing page
greatplainscp.com,great plains capital partners,no_listings_page,human-verified by Sanny: Can't find listing page
nericap.com,neri capital partners,no_listings_page,human-verified by Sanny: Can't find listing page
allied-commercial.com,allied commercial,no_listings_page,human-verified by Sanny: Not a listing page
calderassociates.com,"calder associates, inc.",no_listings_page,human-verified by Sanny: Can't find listing page
bodikaeru.com,corefit consulting,no_listings_page,human-verified by Sanny: Not a listing page
massbuysell.com,massbuysell,no_listings_page,human-verified by Sanny: Can't access page
gov.texas.gov,texas new star,no_listings_page,human-verified by Sanny: Can't find listing page
franciscopartners.com,the francisco group,no_listings_page,human-verified by Sanny: Can't find listing page
valhallabrokers.com,valhalla business brokers & advisors,dead,human-verified by Sanny: This site can’t be reached
rapt,rapt business brokers,dead,human-verified by Sanny: This site can’t be reached
bfsnetwork.com,bfs,no_listings_page,human-verified by Sanny: Can't find listing page
business-acquisitions.com,"business acquisitions, llc",no_listings_page,human-verified by Sanny: Can't find listing page
bizsellca.com,california business broker,dead,human-verified by Sanny: This site can’t be reached
ferrarrirealty.com,ferrarri international realty inc.,no_listings_page,human-verified by Sanny: Can't find listing page
fortune.com,fortune company,no_listings_page,human-verified by Sanny: Needs Subscription
horizonmaa.com,horizon m&a advisors,no_listings_page,human-verified by Sanny: Can't find listing page
jonescorporate.com,the jones group,dead,human-verified by Sanny: This site can’t be reached
bizpro.com,biz pro llc,no_listings_page,human-verified by Sanny: Page not available
greghrabcak.com,hanna commercial re services,no_listings_page,human-verified by Sanny: Listing
marathoncapital.com,marathon capital advisors,no_listings_page,human-verified by Sanny: Can't find listing page - Possibly not a listing page
investments-citi.netxinvestor.com,citi commercial investments,no_listings_page,human-verified by Sanny: Not a listing page
fontainerebrokerage.com,fontaine re brokerage,no_listings_page,human-verified by Sanny: Can't find listing page
goldencircleadvisors.com,golden circle advisors,no_listings_page,human-verified by Sanny: Can't find listing page
innovativeba.com,"innovative business advisors, llc",no_listings_page,human-verified by Sanny: Can't find listing page
realtyexecutives.com,realty executives,no_listings_page,human-verified by Sanny: Can't find listing page
axial.net,washington metropolitan business brokers,no_listings_page,human-verified by Sanny: Can't find listing page
wcibroker.com,wci buisness sales,blocked,human-verified by Sanny: 403 Forbidden
preschoolsales.com,"academic property group, llc",no_listings_page,human-verified by Sanny: Can't find listing page
alamocorporategroup.com,"alamo corporate group, inc.",no_listings_page,human-verified by Sanny: Can't find listing page
bizbode.com,bizbode llc,no_listings_page,human-verified by Sanny: Can't find listing page
broadstone.com,"broadstone capital, llc",no_listings_page,human-verified by Sanny: Can't find listing page
coastcapitalsavings.com,cal coast capital,no_listings_page,human-verified by Sanny: Not a listing page
capitolbusinessconsultants.com,capitol business consultants,no_listings_page,human-verified by Sanny: Can't find listing page
crescenda.com,crescenda merger & acquisition advisors,no_listings_page,human-verified by Sanny: Can't find listing page
crespobusinessbrokers.com,crespo business brokers,no_listings_page,human-verified by Sanny: Can't find listing page
dreambusinessbrokers.com,dream business brokers,no_listings_page,human-verified by Sanny: Can't find listing page
futurehomerealty.com,fhr commercial - future home realty,no_listings_page,human-verified by Sanny: Can't find listing page
5riverscre.com,five rivers real estate,no_listings_page,human-verified by Sanny: Can't find listing page
