domain,company,listings_url,state,active
vestedbb.com,"vested business brokers, ltd",https://www.vestedbb.com/advancesearch/index.html,ny,484
hedgestone.com,hedgestone business advisors,https://www.hedgestone.com/businesses-for-sale/,ny,296
routesforsale.net,routes for sale,https://www.routesforsale.net/route-listings.html,fl,226
routeconsultant.com,route consultant,https://listings.routeconsultant.com/route-search-results/,tn,211
fxgcorp.com,"fxg management, inc.",https://fxgcorp.com/buyers,ca,190
ubibusinessbrokersarizona.com,ubi business brokers,https://www.ubibusinessbrokersarizona.com/all-listings,az,186
wesellrestaurants.com,we sell restaurants,https://www.wesellrestaurants.com/restaurant-for-sale-near-me/All,fl,178
execbb.com,executive business brokers,https://execbb.com/buyer/sub/results.asp?searchtype=incsearch,nj,174
ninbb.com,national industry network business brokers,https://ninbb.com/business-listing/,ga,169
fcbb.com,first choice business brokers,https://fcbb.com/businesses-for-sale?page=1,nv,161
poolroutesales.com,"national pool route sales, llc",https://poolroutesales.com/pool-routes-for-sale/,ca,136
restaurantforsales.com,grand realty group,https://restaurantforsales.com/buy-a-restaurant.html,ca,136
eatz-associates.com,eatz & associates,https://eatz-associates.com/listings/?fwp_status=for-sale%2Cnew-listing%2Cunder-contract%2Cfor-lease,il,126
restaurantrealty.com,restaurant realty company,https://www.restaurantrealty.com/?ct_ct_status=active&search-listings=true,ca,123
greenlifebusiness.com,glb group inc.,https://greenlifebusiness.com/search-result/?keyword=&location-1=&status%5B%5D=for-sale&status%5B%5D=pending&status%5B%5D=sold&sortby=d_date,ca,120
synergybb.com,synergy business brokers,https://synergybb.com/businesses-for-sale/,ny,119
iagmerger.com,iag,https://www.bizbuysell.com/business-broker/jason-hullender/iag/2171/,tx,119
websiteclosers.com,websiteclosers.com,https://www.websiteclosers.com/businesses-for-sale/,fl,116
eastcoastbusinessbrokers.com,east coast business brokers,https://www.eastcoastbusinessbrokers.com/index.php?p=search-result,ny,113
calhouncompanies.com,calhoun companies,https://www.calhouncompanies.com/find-a-business,mn,107
salehgroup.com,the saleh group re/max preferred group,https://salehgroup.com/business-directory/,oh,100
goldstarbbaz.com,goldstar business brokers,https://goldstarbbaz.com/CurrentListings.aspx,az,99
kensingtoncompany.com,the kensington company,https://kensingtoncompany.com/business-listings/,ny,99
riverbrokers.com,river brokers,https://riverbrokers.com/commercial-listings/,ga,97
lbaweb.com,liberty business advisors of san francisco inc.,https://www.lbaweb.com/search-result/?business_type=0&business_type_sub=Business+Listing&max_price=Price&agent=Agent&listing_number=&status=Status&submit1=,ca,93
fbxbrokers.com,"florida business exchange, inc.",https://fbxbrokers.com/fbx-listings/,fl,84
shumacher.com,shumacher restaurant brokers,https://www.shumacher.com/category/listings/,ga,80
business-team.com,business team,https://www.business-team.com/buy-a-business/search-Results.aspx,ca,77
moxiebrokeragegroup.com,moxie brokerage group | moxie select,https://www.moxiebrokeragegroup.com/listings,ny,77
barberabusiness.group,barbera business group/platinum realestate inc.,https://www.bizbuysell.com/business-broker/joseph-barbera/barbera-business-group-platinum-realestate-inc/8295/,mi,73
realtecbusinessbrokers.com,realtec business brokers,https://www.bizbuysell.com/business-broker/rich-gruber/realtec-business-brokers/1025/?cb_ifcb=1&j=aq,fl,72
armennazarian.com,armen nazarian business brokers,https://www.armennazarian.com/buy/,mi,71
prime100businessbrokers.com,prime 100 business brokers,https://prime100businessbrokers.com/search/,tn,70
americanrealtybrokers.com,american realty brokers,https://www.bizbuysell.com/business-broker/mike-darmo/american-realty-brokers/20105/,az,70
saintlouisgroup.com,saint louis group business brokers inc.,https://saintlouisgroup.com/listings/,mo,70
sofrankoadvisors.com,"sofranko advisory group, llc",https://sofrankoadvisors.com/for-sale/,pa,69
v-aidgroup.com,"v-aid group, inc.",https://v-aidgroup.com/business-for-sale/,tx,68
thefirmadv.com,"the firm advisors, llc",https://thefirmadv.com/business-buyer/opportunities/,ne,68
clandbiz.com,cbcg (c land business consulting group),https://www.clandbiz.com/search-listing/,nj,67
inbargroup.com,inbar group inc - business brokers and m&a,https://inbargroup.com/businesses-for-sale/,ny,67
premierbb.com,premier business brokers,https://premierbb.com/listings/,mo,67
corbettrestaurantgroup.com,corbett restaurant group,https://corbettrestaurantgroup.com/listings/,ma,66
franchiseusa.net,"franchise & business opportunities, llc",https://franchiseusa.net/franchises/,fl,66
myexitplan.com,business exit advisors,https://bizmls.com/cgi-bin/a-bus2.asp?folder=bbf-1282&src=bus-all,fl,66
squarediehlrealty.com,square deal realty,"https://link.flexmls.com/x2oeawuasrr,5",mi,65
aldrin.ca,"a r business brokers inc., brokerage",https://www.aldrin.ca/businesses-for-sale/,on,64
accountingpracticesales.com,accounting practice sales,https://accountingpracticesales.com/apslistings/,tx,63
sflabusinesses4sale.com,"south florida m&a advisors, inc.",https://bizmls.com/listings/bbf-1287002/bus-chg7day.asp,fl,62
fusionadvantage.com,fusion business brokers,https://fusionadvantage.com/businesses-for-sale/,mo,62
cibb.com,corporate investment business brokers,https://www.cibb.com/cibb-exclusive-listings/,fl,58
pk-property.com,"pk property ,real estate company in pa,nj,ny.",https://pk-property.com/business-listing/,pa,58
hughesproperties.com,hughes properties inc.,https://hughesproperties.com/#,ca,52
bbaz.com,business brokers of arizona,https://www.azbusinessbrokers.com/search-listings,az,51
baltimorebusinessbrokers.com,baltimore business brokerage,https://baltimorebusinessbrokers.com/business?,md,50
coastalbizbrokers.com,coastal business brokers,https://coastalbizbrokers.com/all-listings/,sc,50
7cint.com,7 continents international,https://www.7cint.com/,tx,49
totalbusinessbrokers.com,total business brokers,https://totalbusinessbrokers.com/businesses-for-sale/,ny,49
quietlight.com,"quiet light brokerage, inc.",https://quietlight.com/listings/,mn,48
buysellarestaurant.com,metropolitan restaurant brokerage,https://www.buysellarestaurant.com/current-listings,va,48
alpinebusinessbrokers.com,"alpine business brokers, llc",https://www.alpinebusinessbrokers.com/utah-businesses-for-sale/,ut,48
bristol.group,bristol group,https://bristolgrouponline.com/buy-a-business/#search,id,47
pacificcommercialbrokers.com,pacific commercial brokers,https://pacificcommercialbrokers.com/listings/,wa,47
ibexbeyond.com,"international business exchange, inc.",https://www.ibexbeyond.com/buy-a-business/,tx,47
thedynastyba.com,dynasty business advisors,https://thedynastyba.com/listings/ - Needs location,nc,47
dynamitebrokers.com,tnt business brokers,https://dynamitebrokers.com/businesses-for-sale/,al,46
c3cre.com,"c3 cre, llc",https://c3cre.com/property-listings/,mi,46
generational.com,"generational equity, llc",https://www.dealforce.com/buying-a-business/ -- Limited list. Wants a sign in to view all listings,ga,46
restaurantstore.com,national restaurant properties,https://www.nationalrestaurantproperties.com/listings/,nc,46
prolevelbusiness.com,pro level business,https://www.prolevelbusiness.com/business-for-sale,md,46
givingtreerealty.com,tree realty,https://www.givingtreerealty.com/listings/,ca,46
mycarwashbroker.com,ross brothers inc. car wash brokers,https://mycarwashbroker.com/new-york-car-wash-listings/,ny,44
network.axial.net,global one realty,https://www.thecanvasapts.com/?rcstdid=MQ%3d%3d-WOzw8Oa5P2c%3d&gad_source=5&gad_campaignid=22511196942&gclid=EAIaIQobChMI6oyw0pO1jQMVktI8Ah0PiyvWEAAYASAAEgLWKfD_BwE,mi,43
indianaequitybrokers.com,indiana equity brokers,https://indianaequitybrokers.com/businesses-for-sale/,in,42
oibmn.com,opportunities in business,https://oibmn.com/listing_status/current/,mn,41
zoombusinessbrokers.com,zoom business brokers,https://zoombusinessbrokers.com/businesses-for-sale/,ca,41
fih.com,"fih, llc",https://fih.com/marketplace,ny,41
excellencebusinessbrokers.com,first choice business brokers - excellence team,https://www.excellencebusinessbrokers.com/businesses-for-sale,fl,40
powerrealty1.com,power realty & investments,https://www.powerrealty1.com/,ca,40
theveldgroup.com,the veld group,"https://theveldgroup.com/main-street-businesses-for-sale/#
https://veldma.com/listing/",ca,40
hudsonvalleybusinessbrokers.com,hudson valley business brokers,https://northeastbusinessbrokers.com/,ny,40
bizbrokeragehub.com,bizbrokerage hub,https://www.bizbrokeragehub.com/listings,ny,39
franbiznetwork.com,franbiznetwork,https://www.franbiznetwork.com/listings/,ca,39
mibizbroker.com,michigan business broker,https://michiganbusinessbroker.com/listings/,mi,39
latonas.com,latona's llc,https://latonas.com/,unknown,39
nationalfranchisesales.com,national franchise sales,https://www.nationalfranchisesales.com/listings,ca,39
baldwinrealestateenterprises.com,baldwin realty group,https://baldwinrealestateenterprises.com/properties/,co,39
commercialroutesforsale.com,routes to success,https://www.commercialroutesforsale.com/RouteList.aspx,fl,38
vikingmergers.com,viking mergers & acquisitions,https://www.vikingmergers.com/businesses-for-sale/,nc,37
businessfinderscanada.com,business finders,https://businessfinderscanada.com/listings-business,bc,37
pittsburgh.fcbb.com,first choice business brokers pittsburgh,https://pittsburgh.fcbb.com/businesses-for-sale?sort=PriceHighToLow&page=1,pa,37
choijina.com,professional realty group,https://choijina.com/index.php/our-properties/,va,37
businessmodificationgroup.com,business modification group,https://businessmodificationgroup.com/listings/?statuses=ACTIVE,fl,37
proformapartners.com,"proformapartners, llc","https://proformapartners.com/current-listings/
** full list needs log in",co,37
sfbay.fcbb.com,first choice business brokerage,https://sfbay.fcbb.com/businesses-for-sale?location=California&sort=FeaturedLocalBusinesses&page=1,ca,37
bcvcommercial.com,business & commercial ventures,https://bcvcommercialrealty.com/businesses-for-sale/,md,36
naz-business.com,naz business group/ home wire inc,https://naz-business.com/listings,wi,36
companysellers.com,company sellers ltd.,https://www.companysellers.com/businesses-for-sale/,co,36
practicetransitionsgroup.com,practice transitions group,https://practicetransitionsgroup.com/practices-for-sale/,tx,36
sdbiz.com,sd business advisors,https://www.sdbiz.com/businessesforsale,ca,35
therestaurantbroker.com,the restaurant brokers,https://therestaurantbroker.com/all-restaurants-available/,az,35
linkbusiness.com,link business advisors,https://linkbusiness.com/businesses-for-sale,tx,35
newmichiganrealty.com,new michigan realty,https://newmichiganrealty.com/search-result/,mi,35
franchiseclearly.com,franchise clearly,https://members.franchiseclearly.com/tools/franchisors/public?available,fl,34
denverbbs.com,"business brokerage services, llc",https://denverbbs.com/buy-a-business/,co,33
