url,company,reason,soft
Not a business listing page,ubb,soft_flag:not a business,True
CAN'T FIND LISTING PAGE,benchmark international,soft_flag:can't find,True
https://www.bizbuysell.com/business-broker/jason-hullender/iag/2171/,iag,blocked_domain:bizbuysell.com,
nan,fxg management,empty_or_nan,
nan,resf commercial,empty_or_nan,
nan,"generational group, llc",empty_or_nan,
https://www.bizbuysell.com/business-broker/rich-gruber/realtec-business-brokers/1025/?cb_ifcb=1&j=aq,realtec business brokers,blocked_domain:bizbuysell.com,
https://www.bizbuysell.com/business-broker/joseph-barbera/barbera-business-group-platinum-realestate-inc/8295/,barbera business group/platinum realestate inc.,blocked_domain:bizbuysell.com,
https://www.bizbuysell.com/business-broker/mike-darmo/american-realty-brokers/20105/,american realty brokers,blocked_domain:bizbuysell.com,
https://bizmls.com/listings/bbf-1287002/bus-chg7day.asp,"south florida m&a advisors, inc.",blocked_domain:bizmls.com,
nan,re/max,empty_or_nan,
PAGE Unreachable,first choice business brokers la,soft_flag:unreachable,True
Not a business listing page,william tippin,soft_flag:not a business,True
Can't find listing page,"attlee realty, llc",soft_flag:can't find,True
nan,karen suh,empty_or_nan,
https://www.dealforce.com/buying-a-business/ -- Limited list. Wants a sign in to view all listings,"generational equity, llc",blocked_domain:dealforce.com,
nan,biznis resource,empty_or_nan,
nan,fxg enterprises inc,empty_or_nan,
nan,franvue,empty_or_nan,
https://bizmls.com/cgi-bin/a-bus2.asp?folder=bbf-1282&src=bus-all,business exit advisors,blocked_domain:bizmls.com,
CANT FIND,ecashflow acquisitions,soft_flag:cant find,True
nan,tidewater associates,empty_or_nan,
"https://link.flexmls.com/x2oeawuasrr,5",square deal realty,blocked_domain:flexmls.com,
DUPLICATE,"nashville business brokers, llc",soft_flag:duplicate,True
nan,mcbride marketing,empty_or_nan,
CANT FIND PAGE,peterson acquisition,soft_flag:cant find,True
https://www.bizbuysell.com/business-broker/michael-stavrinakis/stavrinakis-franchise-and-business-brokerage/25326/?is_pseo=1&bp_cfspg=&bplt=10#bdProfileTabs](https://www.bizbuysell.com/business-broker/michael-stavrinakis/pacific-restaurant-brokers/25326/?bp_cfspg=&bplt=10#bdProfileTabs,stavrinakis franchise & business brokerage,blocked_domain:bizbuysell.com,
CANT FIND PAGE,pacific business advisors,soft_flag:cant find,True
Site can't be reached,ana serrat broker,soft_flag:site can't be,True
Not a business listing page,burness businesses,soft_flag:not a business,True
Not a business listing page,vandy brokers,soft_flag:not a business,True
Can't find listing page,js associates,soft_flag:can't find,True
Can't find listing page,franchise connectors & business brokers,soft_flag:can't find,True
CANT FIND PAGE,iba,soft_flag:cant find,True
NO Listing Page,quinn re sales,soft_flag:no listing,True
NO Listing Page,"vincent carfora broker, inc.",soft_flag:no listing,True
nan,"mr. route sunstates, inc.",empty_or_nan,
NO Listing Page,the agency nw real estate,soft_flag:no listing,True
CAN'T FIND PAGE,the bowen group,soft_flag:can't find,True
CAN'T FIND PAGE,venture business solutions,soft_flag:can't find,True
nan,keller williams realty ps,empty_or_nan,
Needs sign in to view listing,"hbsg, inc.",soft_flag:needs sign,True
Can't find page,"action realty task, inc",soft_flag:can't find,True
Can't find page,rebecca pierce,soft_flag:can't find,True
"https://www.crexi.com/profile/ravi-jagtiani-ravijag

https://www.bizbuysell.com/business-broker/ravi-jagtiani/ravi-jagtiani-jagtiani-group-with-intero-commercial/32607/?bp_sreg=18&bp_cpg=2",ravi jagtiani / jagtiani group with intero commercial,blocked_domain:bizbuysell.com,
"https://www.bizbuysell.com/business-broker/bill-boyd/boyd-brokerage-associates-llc/15534/

https://www.loopnet.com/commercial-real-estate-brokers/profile/bill-boyd/g68e2bwb#listings-section","boyd brokerage associates, llc",blocked_domain:bizbuysell.com,
Needs sign in to view listing,cr business brokers,soft_flag:needs sign,True
Not a Business listing page,david taylor,soft_flag:not a business,True
Can't find page,ira spilky & associates,soft_flag:can't find,True
Needs sign in to view listing,lester stintson,soft_flag:needs sign,True
No listings yet,pghbiz brokerage,soft_flag:no listing,True
https://www.bizbuysell.com/business-broker/jason-barnes/priority-business-brokers/11455/?bp_sreg=56&bp_scounty=2556&bp_cpg=,priority business brokers,blocked_domain:bizbuysell.com,
Can't find page,steve savoni,soft_flag:can't find,True
https://www.bizbuysell.com/business-broker/joe-granato/abc4restaurants-abc4commercial-investment-properties/2810/,abc4restaurants /abc4commercial (investment properties),blocked_domain:bizbuysell.com,
Can't find page,rog infinity commercial real estate & business opportunity,soft_flag:can't find,True
Site can't be reached,cbi team,soft_flag:site can't be,True
Site Can't be Reached,united real estate miami,soft_flag:site can't be,True
Not a Listing Page,ms real estate inc,soft_flag:not a listing,True
Not a listing page.,teddmin business brokers & advisors,soft_flag:not a listing,True
No listing page avaialble,elite business brokers llc.,soft_flag:no listing,True
Not a listing page.,danny cooper,soft_flag:not a listing,True
No listing page avaialble,lawrence associates,soft_flag:no listing,True
https://www.bizmls.com/business-search.asp -- Need to choose State,biz resales,blocked_domain:bizmls.com,
https://www.bizbuysell.com/business-broker/bilal-khaliq-cbb/empire-global-business-brokers/32137/,empire global business brokers,blocked_domain:bizbuysell.com,
https://thedynastyba.com/listings/ - Needs location,dynasty business advisors,soft_flag:needs location,True
Cant find listing page,sterling business consultants,soft_flag:cant find,True
Cant find listing page,alex webb,soft_flag:cant find,True
Cant find listing page,franchise finder consulting firm,soft_flag:cant find,True
Cant find listing page,route depot,soft_flag:cant find,True
Site Can't be Reached,mrg realty advisors llc,soft_flag:site can't be,True
Cant find listing page,bar doctors inc,soft_flag:cant find,True
Site Can't be Reached,"action realty task holdings, inc",soft_flag:site can't be,True
Cant find listing page,ajax real estate,soft_flag:cant find,True
https://www.dealforce.com/opportunities/,generational equity,blocked_domain:dealforce.com,
https://www.bizbuysell.com/business-broker/jaret-grossman/jarbly-llc/28847/,jarbly llc,blocked_domain:bizbuysell.com,
https://www.bizbuysell.com/business-broker/emmet-apolinario-cepa-cvb/ohio-business-advisors-an-international-resource-group-company/5022/,ohio business advisors an international resource group company,blocked_domain:bizbuysell.com,
Cant find listing page,premier agent network,soft_flag:cant find,True
Cant find listing page,bw laundry sales,soft_flag:cant find,True
Can't find listing page,gt capital inc,soft_flag:can't find,True
Can't find listing page,strategy partners,soft_flag:can't find,True
Can't find listing page,frank canali,soft_flag:can't find,True
Can't find listing page,mainstreet business ventures,soft_flag:can't find,True
Can't find listing page,berkshire hathaway,soft_flag:can't find,True
nan,northeast restaurant group,empty_or_nan,
No listings found,jg commercial group,soft_flag:no listing,True
Site can't be reached,"mr.route, inc.",soft_flag:site can't be,True
Can't find listing page,"businessquest brokers, inc.",soft_flag:can't find,True
Can't find listing page,"boss group international, llc",soft_flag:can't find,True
