domain,rest_base,account,display_name,bbs_count
eatz-associates.com,listing,3477,Eatz & Associates,1026
trufortebusinessgroup.com,business_listing,19193,Truforte Business Group,748
www.vikingmergers.com,businesses,563,Viking Mergers & Acquisitions,406
synergybb.com,listing,2119,Synergy Business Brokers,372
strategicdc.com,practices,39077,The Strategic Chiropractor,323
biz-depot.co,estate_property,40190,Biz Depot Brokers,244
listings.routeconsultant.com,route,37203,Route Consultant,217
practicetransitionsgroup.com,practice_for_sale,43783,Practice Transitions Group,140
businessexits.com,listing,20197,Business Exits,133
capitalbusinessbrokerage.biz,business,31769,Capital Business Brokerage,109
www.trustbusinessbrokers.com,listing,26863,Trust Business Brokers - West Usa Realty,97
dellingco.com,listing,28691,Del Lingco International Business Brokers,97
ubcutah.com,business-listings,3304,Utah Business Consultants,79
exitequity.com,listings,13988,Exit Equity,75
www.appbusinessbrokers.com,listing,15245,App Business Brokers,64
www.blueridgebrokerage.com,property,43299,Blue Ridge Brokerage,61
unbroker.com,listing,,Unbroker,59
lighthousebusinessbrokers.com,property,26356,Lighthouse Business Brokers,56
www.crestonebusinessgroup.com,business,37598,Crestone Business Group,53
integrabrokers.com,business_dir_dir_ltg,24723,Integra Business Brokers,53
equitygroupmi.com,businesses,24767,Egm,48
acquisitionsdirect.com,business-listing,3374,Acquisitionsdirect.Com,48
paradigmbb.com,business-listings,39949,Paradigm Business Brokers,47
gottesman-company.com,deals,20010,Neufeld Business Brokers,47
carmelbusinesssales.com,listings,4926,Carmel Business Sales,35
spkrealty.com,estate_property,45656,Spk Realty,33
specialtygroup.com,listings,7822,Specialty Bar & Restaurant Brokers,32
sperityventures.com,listing,4180,Sperity Real Estate Ventures,27
thecbagroup.com,business-for-sale,15141,The Cba Group,23
www.keatepartners.com,business_listings,50107,Keate Partners,20
fivestarbusinessbrokers.com,businesses,13406,Five Star Business Brokers,20
bizbuyandsellga.com,custom_listing,5557,Great Atlanta Realty,19
thefriendlybrokers.com,business,48646,The Friendly Brokers,17
ecrestaurantbrokers.com,listing,36467,Emerald Coast Restaurant Brokers & Consultants,17
certifiedbb.com,listings,3979,Certified Business Brokers,17
www.thevantgroup.com,business_listing,17418,The Vant Group,14
bbofsa.com,listing,3991,Business Brokers Of San Antonio,13
www.laskacompany.com,listing,4285,Laska Company,12
coastaladvisors.ca,listing,50100,Coastal Business Advisors,12
sellmydeliveryroutes.com,routes,30076,Steve Ramsthel,11
www.simplymarinas.com,marina-for-sale,34393,Simply Marinas,9
www.ecombrokers.co.uk,live-listings,42573,Ecom Brokers,9
benchmarkbusinessbrokers.com,business_listing,26756,Benchmark Business Brokers,9
totalbusinessbrokers.com,business,49543,Total Business Brokers,7
libertybusinessbrokersofontario.com,property,13948,Liberty Business Brokers Of Ontario,7
www.troyba.com,business,49946,Troy Business Advisers,6
threeoaksbrokerage.com,listing,49596,Three Oaks Advisory Services,6
magnusbusinessgroup.com,listings,45873,Magnus Business Group,6
www.bma1.com,slw_business_listing,1508,Brandywine Mergers & Acquisitions,5
bibgroup.net,business-for-sale,4150,Bib Group,4
floridaconnexionbusiness.com,franchises,49040,Florida Connexion Business Brokers,3
www.ok-om.com,private-sale,16760,Okeeffe & Omalley,1
www.kcapex.com,business_listing,47792,Apex Business Advisors,1
www.bizbrokeragehub.com,deal,15082,Bizbrokerage Hub,1
